mass,1073
size,91.25,148.8,200.4
Average Velocity,57.777
Velocity Stdev,14.761
Straight Factor,0.02612
Frame Z Position Stdev,0.896


Time(s),Path(x),Path(y),Path(z),Pos(x),Pos(y),Pos(z),force(x),force(y),force(z)
12.03,1.527,-0.1239,-0.1534,-3.818,0.02268,0.1724,0.001876,-0.001898,0.03047
12.05,1.815,-0.1447,-0.1472,-3.832,0.02369,0.1741,0.002243,-0.001797,0.02727
12.07,2.099,-0.1551,-0.1475,-3.847,0.02464,0.1753,0.002835,-0.001306,0.0179
12.1,2.454,-0.1533,-0.1545,-3.862,0.02551,0.1743,0.002984,-0.000763,0.007277
12.13,2.855,-0.1406,-0.163,-3.876,0.0259,0.1734,0.001317,-0.0005372,0.003103
12.15,-3.04,-0.1224,-0.1688,-3.888,0.02582,0.1734,0.0005294,-0.0005448,0.003441
12.18,-2.755,-0.1066,-0.1711,-3.902,0.02544,0.1748,-0.002147,-0.0001486,0.003235
12.2,-2.556,-0.09582,-0.1722,-3.917,0.02498,0.1761,-0.003004,0.001372,0.004317
12.22,-2.361,-0.08801,-0.1715,-3.932,0.02444,0.1754,-0.003309,0.002287,0.005364
12.25,-2.167,-0.08192,-0.1696,-3.947,0.02381,0.1733,-0.003518,0.003049,0.006915
12.28,-1.958,-0.0761,-0.1682,-3.961,0.02333,0.1719,-0.0036,0.003287,0.008419
12.3,-1.732,-0.06855,-0.168,-3.973,0.02343,0.1724,-0.003643,0.00273,0.009453
12.32,-1.477,-0.05792,-0.1688,-3.987,0.02398,0.174,-0.003655,0.002618,0.009625
12.35,-1.203,-0.04473,-0.1703,-4.001,0.0248,0.1755,-0.003664,0.002508,0.009872
12.38,-0.8908,-0.02997,-0.1714,-4.017,0.02574,0.1751,-0.004281,0.001739,0.01618
12.4,-0.4922,-0.01465,-0.1701,-4.032,0.02653,0.1735,-0.004035,-0.0004007,0.0258
12.43,-0.09406,-0.002301,-0.1697,-4.046,0.02682,0.1734,-0.0009867,-0.00434,0.03519
12.45,0.2277,0.002395,-0.1692,-4.059,0.02673,0.1742,0.0007005,-0.006572,0.03488
12.47,0.4505,-0.004968,-0.17,-4.073,0.02648,0.1755,0.0009354,-0.007312,0.03345
12.5,0.6368,-0.02246,-0.1713,-4.088,0.02622,0.1761,0.001785,-0.007885,0.03327
12.53,0.8219,-0.0451,-0.17,-4.103,0.0261,0.1745,0.002359,-0.007592,0.03334
12.55,1.028,-0.07075,-0.1662,-4.118,0.02625,0.172,0.002462,-0.006911,0.03258
12.57,1.258,-0.09815,-0.1603,-4.131,0.02675,0.1715,0.002495,-0.0068,0.0324
12.6,1.523,-0.1237,-0.153,-4.144,0.02749,0.1723,0.002518,-0.00669,0.03216
12.63,1.807,-0.1435,-0.1476,-4.158,0.02843,0.1741,0.003131,-0.005921,0.02586
12.65,2.093,-0.154,-0.1484,-4.173,0.02925,0.1752,0.003634,-0.003776,0.0159
12.68,2.456,-0.1524,-0.1557,-4.188,0.0297,0.1743,0.002497,-0.0002264,0.005207
12.7,2.857,-0.14,-0.1638,-4.202,0.02967,0.1733,0.0012,0.0008466,0.003077
12.72,-3.038,-0.1221,-0.1691,-4.215,0.0294,0.1737,-0.0003804,0.000839,0.003765
12.75,-2.75,-0.1074,-0.1702,-4.229,0.02903,0.1748,-0.002065,0.001167,0.003601
12.78,-2.557,-0.097,-0.1715,-4.244,0.02865,0.1756,-0.002745,0.0007476,0.003712
12.8,-2.364,-0.08915,-0.1706,-4.26,0.02839,0.1747,-0.00281,0.0001239,0.004958
12.82,-2.172,-0.0834,-0.1688,-4.276,0.02824,0.1728,-0.002813,-0.0004753,0.006575
12.85,-1.97,-0.07782,-0.1673,-4.29,0.02821,0.1715,-0.002813,-0.001079,0.008089
12.88,-1.752,-0.0702,-0.1675,-4.302,0.02859,0.1721,-0.002854,-0.001605,0.009125
12.9,-1.501,-0.05937,-0.1686,-4.315,0.02929,0.1736,-0.002912,-0.00196,0.009721
12.93,-1.228,-0.04601,-0.1701,-4.329,0.03016,0.1749,-0.003227,-0.002863,0.01119
12.95,-0.9152,-0.03114,-0.171,-4.344,0.03101,0.1747,-0.005218,-0.004991,0.0182
12.97,-0.5173,-0.01614,-0.1701,-4.36,0.03165,0.1735,-0.00518,-0.009476,0.0277
13,-0.1169,-0.003716,-0.1698,-4.373,0.03182,0.1734,-0.004813,-0.01539,0.03728
13.03,0.215,0.001806,-0.1693,-4.386,0.03164,0.1741,-0.002427,-0.01574,0.03965
13.05,0.4424,-0.004385,-0.1698,-4.4,0.03133,0.1754,-0.002262,-0.01513,0.03835
13.07,0.6283,-0.0214,-0.1713,-4.415,0.03107,0.1759,-0.001395,-0.01389,0.03849
13.1,0.8104,-0.04336,-0.1702,-4.43,0.031,0.1745,-0.0008641,-0.01257,0.03856
13.13,1.012,-0.06844,-0.1664,-4.445,0.03124,0.1721,-0.0007623,-0.01193,0.03778
13.15,1.237,-0.0958,-0.1608,-4.457,0.03181,0.1716,-0.0006825,-0.01158,0.03718
13.18,1.497,-0.1216,-0.1537,-4.47,0.03258,0.1724,-0.0003547,-0.01067,0.03571
13.2,1.779,-0.1424,-0.148,-4.484,0.03349,0.1741,0.001631,-0.008547,0.02872
13.22,2.063,-0.1535,-0.1483,-4.499,0.03432,0.1753,0.003143,-0.004055,0.01854
13.25,2.412,-0.1531,-0.1551,-4.514,0.03488,0.1743,0.003804,0.001341,0.007747
13.28,2.813,-0.1415,-0.1633,-4.528,0.03499,0.173,0.0016,0.001578,0.00368
13.3,-3.08,-0.1239,-0.1689,-4.541,0.0348,0.1736,-6.209e-05,0.001464,0.004104
13.32,-2.786,-0.1086,-0.1706,-4.555,0.03446,0.1751,-0.002307,0.001283,0.003295
13.35,-2.581,-0.0975,-0.1718,-4.57,0.0341,0.1761,-0.003388,0.002088,0.005044
13.38,-2.391,-0.08969,-0.1712,-4.585,0.03381,0.1755,-0.003587,0.002666,0.006192
13.4,-2.204,-0.08401,-0.1693,-4.601,0.0336,0.1734,-0.00373,0.00343,0.007769
13.43,-2.004,-0.07882,-0.1676,-4.615,0.03351,0.1718,-0.003848,0.004009,0.009266
13.45,-1.789,-0.07166,-0.1675,-4.628,0.03381,0.1721,-0.003828,0.003653,0.01035
13.47,-1.543,-0.06128,-0.1683,-4.641,0.03451,0.1734,-0.003847,0.003316,0.01101
13.5,-1.277,-0.04831,-0.1699,-4.655,0.0354,0.1748,-0.003969,0.002585,0.01227
13.53,-0.9807,-0.03376,-0.171,-4.67,0.03645,0.1746,-0.00528,0.00119,0.01841
13.55,-0.5911,-0.01904,-0.1701,-4.685,0.03731,0.1736,-0.004542,-0.000954,0.02689
13.57,-0.1901,-0.006235,-0.1697,-4.699,0.03772,0.1731,-0.002983,-0.003646,0.03605
13.6,0.1632,0.001324,-0.1696,-4.711,0.03766,0.1738,-0.001048,-0.006498,0.03624
13.63,0.3969,-0.002401,-0.1698,-4.725,0.03742,0.1755,-0.0008884,-0.007183,0.03483
13.65,0.5924,-0.01723,-0.1711,-4.739,0.03731,0.1764,-0.0004462,-0.007907,0.03386
13.68,0.7782,-0.03905,-0.1711,-4.754,0.03762,0.1755,0.0003585,-0.008308,0.03423
13.7,0.9814,-0.06413,-0.1679,-4.769,0.0384,0.1729,0.0005307,-0.008022,0.03401
13.72,1.204,-0.09159,-0.1625,-4.782,0.03946,0.1721,0.0005685,-0.007686,0.03335
13.75,1.461,-0.1181,-0.1552,-4.795,0.04055,0.1726,0.0007074,-0.006954,0.03209
13.78,1.742,-0.1399,-0.1488,-4.809,0.04166,0.1743,0.002015,-0.005559,0.02596
13.8,2.025,-0.1526,-0.1476,-4.824,0.0426,0.1751,0.00277,-0.003408,0.01683
13.82,2.361,-0.1539,-0.1535,-4.84,0.04329,0.174,0.002577,-0.001178,0.006733
13.85,2.763,-0.1437,-0.1618,-4.854,0.04359,0.1728,0.001186,0.0001499,0.003191
13.88,-3.125,-0.1265,-0.168,-4.867,0.04346,0.1732,0.0004217,0.0001399,0.003503
13.9,-2.809,-0.1101,-0.1704,-4.88,0.04311,0.1746,-0.00173,0.0003138,0.003812
13.93,-2.586,-0.09823,-0.1714,-4.895,0.04267,0.1756,-0.003406,0.001435,0.004724
13.95,-2.391,-0.08955,-0.1713,-4.91,0.04217,0.1754,-0.003764,0.001902,0.005277
13.97,-2.197,-0.08287,-0.1698,-4.926,0.04162,0.1737,-0.003886,0.002205,0.006871
14,-1.988,-0.07672,-0.1685,-4.939,0.04114,0.1724,-0.003888,0.002119,0.008413
14.03,-1.766,-0.06932,-0.1684,-4.951,0.04117,0.1726,-0.003948,0.001451,0.009624
14.05,-1.513,-0.05906,-0.1689,-4.964,0.04166,0.1736,-0.004052,0.001056,0.01021
14.07,-1.24,-0.04631,-0.1701,-4.979,0.04244,0.1749,-0.004091,0.0006162,0.01114
14.1,-0.9376,-0.03178,-0.1711,-4.994,0.04328,0.1747,-0.004029,2.476e-05,0.01647
14.13,-0.5424,-0.0165,-0.1702,-5.01,0.04392,0.1733,-0.003024,-0.001158,0.02529
14.15,-0.1421,-0.003709,-0.1698,-5.023,0.04409,0.1732,-8.837e-05,-0.003601,0.03413
14.18,0.2052,0.00235,-0.1696,-5.036,0.04395,0.1736,0.002329,-0.005584,0.0338
14.2,0.4345,-0.003809,-0.17,-5.05,0.04367,0.1748,0.002814,-0.005836,0.03285
14.22,0.6246,-0.0205,-0.1713,-5.065,0.0435,0.1755,0.003781,-0.005714,0.03296
14.25,0.8108,-0.04252,-0.1702,-5.08,0.04364,0.1742,0.004251,-0.005192,0.03291
14.28,1.015,-0.06841,-0.1669,-5.094,0.04422,0.1721,0.0044,-0.004502,0.0321
14.3,1.245,-0.09624,-0.1613,-5.107,0.04504,0.1717,0.004524,-0.004108,0.0315
14.32,1.509,-0.1224,-0.154,-5.119,0.04587,0.1724,0.004577,-0.003668,0.03058
14.35,1.795,-0.1431,-0.1482,-5.133,0.04681,0.1739,0.004513,-0.003076,0.02526
14.38,2.082,-0.154,-0.1486,-5.147,0.04757,0.1753,0.004239,-0.001884,0.01613
14.4,2.433,-0.1529,-0.1554,-5.162,0.04783,0.1746,0.003143,0.0003457,0.006372
14.43,2.834,-0.1409,-0.1633,-5.176,0.04752,0.1733,0.001709,0.00103,0.003912
14.45,-3.067,-0.1232,-0.1688,-5.189,0.04704,0.1735,0.0007556,0.0009026,0.003736
14.47,-2.779,-0.1073,-0.1714,-5.202,0.04656,0.1749,-0.00237,0.0009104,0.003486
14.5,-2.577,-0.09665,-0.1723,-5.217,0.04614,0.1759,-0.003319,0.001624,0.004353
14.53,-2.394,-0.08914,-0.1718,-5.233,0.04579,0.1754,-0.003586,0.002286,0.00533
14.55,-2.201,-0.08331,-0.17,-5.249,0.04547,0.1734,-0.003768,0.00304,0.006875
14.57,-1.995,-0.07783,-0.1683,-5.263,0.0453,0.172,-0.003836,0.003215,0.008125
14.6,-1.774,-0.07057,-0.168,-5.275,0.04557,0.1724,-0.003858,0.003003,0.008508
14.63,-1.524,-0.06026,-0.1686,-5.288,0.0462,0.1737,-0.00385,0.002968,0.008573
14.65,-1.255,-0.04733,-0.17,-5.303,0.047,0.1749,-0.00383,0.002889,0.008809
14.68,-0.9605,-0.03275,-0.1713,-5.318,0.04783,0.1748,-0.004181,0.002399,0.01485
14.7,-0.5722,-0.01746,-0.1704,-5.334,0.04849,0.1734,-0.003321,0.0005612,0.02527
14.72,-0.1718,-0.004272,-0.1697,-5.348,0.04877,0.1728,5.774e-05,-0.002522,0.03447
14.75,0.1739,0.002519,-0.1694,-5.361,0.04871,0.1736,0.002729,-0.005007,0.03611
14.78,0.3985,-0.002307,-0.1697,-5.375,0.04853,0.1751,0.00293,-0.00569,0.03474
14.8,0.5961,-0.01795,-0.1711,-5.389,0.04829,0.1759,0.003271,-0.006425,0.03353
14.82,0.7827,-0.04041,-0.1712,-5.405,0.04812,0.1747,0.004043,-0.006387,0.03432
14.85,0.9826,-0.06561,-0.1676,-5.42,0.0482,0.1725,0.004137,-0.006107,0.03422
14.88,1.207,-0.09282,-0.1619,-5.433,0.04868,0.172,0.00415,-0.006075,0.03415
14.9,1.465,-0.1188,-0.1543,-5.446,0.04946,0.1729,0.004143,-0.005996,0.03391
14.93,1.745,-0.1403,-0.1481,-5.46,0.0504,0.1746,0.004492,-0.005506,0.02788
14.95,2.025,-0.1526,-0.1472,-5.475,0.0512,0.1758,0.004256,-0.003686,0.01719
14.97,2.354,-0.154,-0.1534,-5.49,0.05157,0.1748,0.003141,-0.001034,0.006535
15,2.756,-0.1438,-0.162,-5.505,0.05141,0.1729,0.0009432,0.0003014,0.002518
15.03,-3.134,-0.1266,-0.1682,-5.518,0.05099,0.173,0.0009327,0.0003,0.002512
15.05,-2.826,-0.1094,-0.1714,-5.531,0.05056,0.1743,-0.001562,0.0004922,0.003333
15.07,-2.612,-0.09777,-0.1726,-5.546,0.05019,0.1757,-0.002748,0.001176,0.003263
15.1,-2.426,-0.08981,-0.1724,-5.562,0.04993,0.1755,-0.002963,0.001719,0.004265
15.13,-2.233,-0.08393,-0.1705,-5.578,0.04976,0.1734,-0.003114,0.002418,0.005768
15.15,-2.029,-0.07878,-0.1689,-5.593,0.04983,0.1722,-0.003184,0.00264,0.006836
15.18,-1.809,-0.07172,-0.1682,-5.606,0.05028,0.1729,-0.00318,0.002638,0.006834
15.2,-1.561,-0.06174,-0.1686,-5.62,0.05099,0.1745,-0.003165,0.002637,0.006836
15.22,-1.293,-0.04919,-0.1698,-5.634,0.05178,0.1762,-0.003154,0.002638,0.006843
15.25,-0.9993,-0.0348,-0.1711,-5.65,0.05239,0.1756,-0.003205,0.002605,0.007418
15.28,-0.6199,-0.01937,-0.1708,-5.666,0.0527,0.1735,-0.003676,0.002547,0.0163
15.3,-0.2187,-0.005478,-0.1697,-5.68,0.05265,0.1726,-0.001244,0.002148,0.02537
15.32,0.15,0.002551,-0.1694,-5.693,0.0524,0.1728,0.001191,0.001427,0.02801
15.35,0.3865,-0.001308,-0.1697,-5.708,0.05204,0.1739,0.001642,0.0007366,0.02717
15.38,0.5929,-0.0163,-0.171,-5.723,0.05166,0.1752,0.002307,0.0001083,0.02667
15.4,0.7907,-0.03906,-0.1712,-5.737,0.05131,0.1746,0.002815,-8.874e-05,0.02684
15.43,0.9989,-0.06562,-0.1681,-5.753,0.05125,0.1728,0.002856,-0.0001287,0.02698
15.45,1.233,-0.09422,-0.1622,-5.766,0.05168,0.1725,0.002861,-0.0001299,0.02697
15.47,1.499,-0.1212,-0.1543,-5.779,0.05247,0.1734,0.002866,-0.000131,0.02696
15.5,1.786,-0.1426,-0.1477,-5.793,0.0534,0.175,0.002913,-9.763e-05,0.0264
15.53,2.068,-0.1541,-0.1473,-5.808,0.05434,0.176,0.003361,-3.93e-05,0.01753
15.55,2.407,-0.154,-0.1537,-5.824,0.05526,0.1743,0.003249,0.0001466,0.007297
15.57,2.809,-0.1425,-0.1622,-5.839,0.05585,0.1726,0.00129,-2.938e-05,0.002682
15.6,-3.085,-0.1245,-0.1684,-5.852,0.05593,0.1729,0.0009954,5.168e-05,0.00223
15.63,-2.785,-0.1071,-0.172,-5.866,0.05572,0.1743,-0.001438,0.0001409,0.00224
15.65,-2.566,-0.09456,-0.1732,-5.88,0.05543,0.1755,-0.003418,0.001305,0.004283
15.68,-2.378,-0.08676,-0.1729,-5.896,0.05523,0.1754,-0.003529,0.001904,0.005371
15.7,-2.181,-0.08123,-0.1709,-5.912,0.05524,0.1732,-0.003601,0.00254,0.006773
15.72,-1.971,-0.07617,-0.1691,-5.927,0.05557,0.1723,-0.003635,0.002796,0.007363
15.75,-1.74,-0.06891,-0.1683,-5.94,0.05615,0.173,-0.003629,0.002794,0.007362
15.78,-1.484,-0.05867,-0.1687,-5.954,0.05696,0.1747,-0.003613,0.002793,0.007365
15.8,-1.212,-0.04573,-0.17,-5.968,0.05792,0.1758,-0.003603,0.002794,0.007372
15.82,-0.9035,-0.031,-0.1713,-5.984,0.05899,0.1753,-0.003716,0.002636,0.007931
15.85,-0.5083,-0.01548,-0.1707,-5.999,0.06003,0.1733,-0.005212,0.001208,0.01626
15.88,-0.1091,-0.00255,-0.1698,-6.013,0.06046,0.1728,-0.003911,-0.001476,0.02512
15.9,0.2229,0.002528,-0.1692,-6.027,0.06052,0.1731,-0.0009221,-0.003638,0.02431
15.93,0.4295,-0.004169,-0.1698,-6.041,0.06034,0.1745,-0.0008354,-0.004195,0.02308
15.95,0.6215,-0.02106,-0.1713,-6.056,0.06011,0.1754,-0.0006334,-0.004814,0.02199
15.97,0.8157,-0.04408,-0.171,-6.072,0.06006,0.1739,-4.652e-05,-0.005042,0.0232
16,1.026,-0.07071,-0.1677,-6.087,0.06045,0.1724,-1.2e-05,-0.005095,0.02334
16.02,1.265,-0.09848,-0.1615,-6.1,0.0611,0.1726,-5.984e-06,-0.005095,0.02334
16.05,1.534,-0.1243,-0.1538,-6.113,0.0619,0.1736,-2.043e-06,-0.005095,0.02333
16.07,1.82,-0.1443,-0.1479,-6.128,0.06283,0.1749,0.0001041,-0.004938,0.02279
16.1,2.105,-0.1542,-0.1485,-6.143,0.06377,0.1753,0.001576,-0.00351,0.01446
16.13,2.462,-0.1525,-0.1555,-6.158,0.06468,0.1734,0.002182,-0.0009844,0.004592
16.15,2.864,-0.14,-0.1636,-6.172,0.06512,0.1722,0.0007297,-1.146e-05,0.002112
16.18,-3.037,-0.1219,-0.169,-6.185,0.06512,0.1727,0.0007228,-1.118e-05,0.00211
16.2,-2.758,-0.1053,-0.1722,-6.199,0.0649,0.1744,-0.0009613,0.0002258,0.002697
16.23,-2.553,-0.09362,-0.1738,-6.214,0.0646,0.1755,-0.002596,0.001546,0.004819
16.25,-2.362,-0.08612,-0.1731,-6.23,0.06433,0.1749,-0.002743,0.002189,0.005934
16.27,-2.163,-0.08075,-0.1711,-6.246,0.06427,0.1729,-0.002825,0.002553,0.007261
16.3,-1.951,-0.07534,-0.1695,-6.26,0.06462,0.173,-0.002827,0.002523,0.00733
16.32,-1.718,-0.06761,-0.1686,-6.273,0.06529,0.174,-0.002819,0.002522,0.007329
16.35,-1.461,-0.05724,-0.1689,-6.288,0.06616,0.1752,-0.002804,0.002522,0.007334
16.38,-1.187,-0.04432,-0.1702,-6.303,0.06721,0.176,-0.002795,0.002523,0.007344
16.4,-0.8735,-0.02974,-0.1713,-6.319,0.06835,0.1745,-0.003007,0.002355,0.009267
16.43,-0.4756,-0.01462,-0.1702,-6.335,0.06926,0.1725,-0.004074,0.0008193,0.0192
16.45,-0.07706,-0.002277,-0.1696,-6.348,0.06958,0.1723,-0.002107,-0.001694,0.02851
16.48,0.2478,0.002207,-0.1693,-6.361,0.06955,0.173,0.0003666,-0.003897,0.02698
16.5,0.4527,-0.005455,-0.17,-6.376,0.06931,0.1745,0.0004958,-0.004484,0.02572
16.52,0.6463,-0.02313,-0.1713,-6.391,0.06909,0.1751,0.0009361,-0.004753,0.02524
16.55,0.8446,-0.04687,-0.1709,-6.407,0.06908,0.1735,0.001405,-0.00454,0.02679
16.57,1.061,-0.07426,-0.1675,-6.421,0.06947,0.1727,0.00141,-0.004541,0.02678
16.6,1.307,-0.1024,-0.1608,-6.434,0.07014,0.173,0.001417,-0.004542,0.02678
16.63,1.583,-0.128,-0.1529,-6.448,0.07105,0.1745,0.001419,-0.004542,0.02677
16.65,1.871,-0.1471,-0.1477,-6.463,0.07201,0.1756,0.001621,-0.004374,0.02486
16.68,2.161,-0.1552,-0.1491,-6.478,0.07287,0.1748,0.002661,-0.002839,0.01493
16.7,2.535,-0.1513,-0.1566,-6.494,0.0735,0.1725,0.002236,-0.000578,0.004724
16.73,2.936,-0.1372,-0.1645,-6.507,0.07362,0.1718,0.000843,0.0002766,0.002321
16.75,-2.976,-0.1187,-0.1696,-6.52,0.07348,0.1728,0.0008367,0.0002761,0.002321
16.77,-2.713,-0.1026,-0.1727,-6.534,0.07318,0.1747,-0.0005952,0.000609,0.002513
16.8,-2.516,-0.09147,-0.1743,-6.55,0.07293,0.1757,-0.001402,0.001592,0.004091
16.82,-2.319,-0.08416,-0.173,-6.566,0.07287,0.1745,-0.001474,0.002191,0.005365
16.85,-2.118,-0.0792,-0.171,-6.581,0.07314,0.1727,-0.001531,0.00267,0.006426
16.88,-1.901,-0.07356,-0.1693,-6.595,0.07373,0.1731,-0.001532,0.002668,0.006423
16.9,-1.661,-0.06548,-0.1687,-6.609,0.07453,0.1747,-0.001522,0.002667,0.006426
16.93,-1.398,-0.05463,-0.1691,-6.624,0.07545,0.1765,-0.001506,0.002667,0.006432
16.95,-1.12,-0.04127,-0.1704,-6.639,0.07633,0.176,-0.0015,0.002667,0.006442
16.98,-0.7825,-0.02628,-0.1714,-6.656,0.07706,0.1739,-0.001742,0.00259,0.01042
17,-0.3806,-0.01101,-0.1697,-6.671,0.07743,0.172,-0.001717,0.001966,0.0208
17.02,0.01041,0.0004473,-0.1693,-6.685,0.07737,0.1723,0.001233,0.0008427,0.02783
17.05,0.3053,0.001976,-0.1693,-6.699,0.07711,0.1736,0.001652,-0.0003594,0.02473
17.07,0.5009,-0.008789,-0.1703,-6.714,0.07683,0.1745,0.00199,-0.0009002,0.02393
17.1,0.6987,-0.02854,-0.1715,-6.73,0.07669,0.1746,0.00255,-0.001002,0.02404
17.13,0.9034,-0.05393,-0.1702,-6.745,0.07689,0.1729,0.002817,-0.001167,0.02502
17.15,1.131,-0.0823,-0.1659,-6.759,0.07749,0.1724,0.002822,-0.001167,0.02501
17.18,1.389,-0.1105,-0.1585,-6.773,0.07829,0.1734,0.002829,-0.001167,0.025
17.2,1.675,-0.1348,-0.1506,-6.787,0.07922,0.1753,0.002828,-0.001167,0.025
17.23,1.963,-0.1511,-0.147,-6.803,0.08009,0.1759,0.003054,-0.001089,0.02103
17.25,2.271,-0.1554,-0.1508,-6.819,0.08081,0.1746,0.003004,-0.0004663,0.01065
17.27,2.666,-0.1479,-0.1591,-6.835,0.08125,0.1719,0.001118,0.0002296,0.002579
17.3,3.065,-0.1315,-0.1664,-6.848,0.08117,0.172,0.001041,0.0002662,0.002467
17.32,-2.885,-0.113,-0.1709,-6.862,0.08092,0.1734,0.0007812,0.0002102,0.002
17.35,-2.657,-0.09861,-0.1736,-6.876,0.08057,0.1753,-0.0003141,0.0004749,0.002532
17.38,-2.464,-0.08893,-0.1743,-6.892,0.08036,0.1754,-0.0007048,0.001274,0.00333
17.4,-2.263,-0.08269,-0.1724,-6.909,0.08041,0.1737,-0.0007771,0.001895,0.004639
17.43,-2.055,-0.07787,-0.1704,-6.925,0.08084,0.1724,-0.0008205,0.002226,0.005364
17.45,-1.828,-0.07155,-0.1688,-6.938,0.08152,0.1731,-0.0008187,0.002224,0.005362
17.48,-1.576,-0.06245,-0.1685,-6.952,0.08239,0.1747,-0.0008053,0.002223,0.005364
17.5,-1.304,-0.05058,-0.1694,-6.967,0.08338,0.1759,-0.000792,0.002223,0.005374
17.52,-1.012,-0.03635,-0.1708,-6.983,0.08431,0.1754,-0.0007887,0.002223,0.005387
17.55,-0.6394,-0.02073,-0.1715,-6.999,0.08504,0.1733,-0.001602,0.001863,0.01122
17.57,-0.2382,-0.006156,-0.1696,-7.014,0.08533,0.172,-0.002746,0.0008938,0.02128
17.6,0.123,0.002495,-0.169,-7.028,0.08525,0.1728,-0.0003272,-0.0003381,0.0253
17.63,0.3615,-0.0001669,-0.1693,-7.042,0.08502,0.1748,-0.0001849,-0.0009702,0.02353
17.65,0.5435,-0.01384,-0.1705,-7.058,0.08488,0.1753,-0.0001042,-0.001589,0.02224
17.68,0.7394,-0.03492,-0.1714,-7.073,0.08491,0.1745,0.0003448,-0.002001,0.0227
17.7,0.9439,-0.06021,-0.1692,-7.089,0.08532,0.1724,0.0004396,-0.002134,0.02306
17.73,1.174,-0.08811,-0.1643,-7.103,0.08605,0.1723,0.0004458,-0.002134,0.02305
17.75,1.433,-0.1151,-0.157,-7.117,0.08699,0.1737,0.0004526,-0.002134,0.02304
17.77,1.719,-0.1379,-0.1499,-7.131,0.08801,0.1756,0.0004496,-0.002134,0.02304
17.8,2.004,-0.1521,-0.1477,-7.147,0.08894,0.1758,0.001244,-0.001773,0.01722
17.82,2.321,-0.1547,-0.1526,-7.163,0.08966,0.1741,0.002361,-0.0008048,0.007145
17.85,2.722,-0.1456,-0.1607,-7.178,0.08999,0.1717,0.0005264,-0.0002145,0.001413
17.88,3.12,-0.1287,-0.1673,-7.191,0.0899,0.1721,0.000514,-0.0002149,0.001407
17.9,-2.841,-0.1107,-0.1712,-7.205,0.08969,0.1737,0.0005132,-0.0002149,0.001408
